2022-03-29 15:54:31,402 - basicLogger - INFO - Start Periodic Processing
2022-03-29 15:54:33,684 - basicLogger - INFO - Received 273 events with a status code of 200
2022-03-29 15:54:33,685 - basicLogger - INFO - Received 532 events with a status code of 200
2022-03-29 15:54:33,687 - basicLogger - DEBUG - {'date_created': '2022-03-29 07:36:12.520639', 'id': 221, 'member_age': '20', 'member_id': '3fa85f64-5717-4562-b3fc-2c963f66afa6', 'member_name': 'John', 'member_time_entered': '2016-08-29T09:12:33.001000+00:00', 'trace_id': '7063765399'}
2022-03-29 15:54:33,687 - basicLogger - DEBUG - {'date_created': '2022-03-29 08:18:25.878886', 'id': 222, 'member_age': '23', 'member_id': 'PLOSZY93KBE66V2Y7', 'member_name': 'John', 'member_time_entered': '2016-08-29T09:12:33.001000+00:00', 'trace_id': '6233735938'}
2022-03-29 15:54:33,687 - basicLogger - DEBUG - {'date_created': '2022-03-29 08:18:25.906469', 'id': 223, 'member_age': '13', 'member_id': '8WA7R03ULQ5EJBDME', 'member_name': 'John', 'member_time_entered': '2016-08-29T09:12:33.001000+00:00', 'trace_id': '4625092512'}
2022-03-29 15:54:33,687 - basicLogger - DEBUG - {'date_created': '2022-03-29 08:18:25.925935', 'id': 224, 'member_age': '42', 'member_id': '6ZSZMSMT08O8TWXOY', 'member_name': 'John', 'member_time_entered': '2016-08-29T09:12:33.001000+00:00', 'trace_id': '656648757'}
2022-03-29 15:54:33,687 - basicLogger - DEBUG - {'date_created': '2022-03-29 08:18:25.934327', 'id': 225, 'member_age': '23', 'member_id': 'ADTK1BIFOVEL99Y1Y', 'member_name': 'John', 'member_time_entered': '2016-08-29T09:12:33.001000+00:00', 'trace_id': '1342797881'}
2022-03-29 15:54:33,687 - basicLogger - DEBUG - {'date_created': '2022-03-29 08:18:25.943846', 'id': 226, 'member_age': '41', 'member_id': '874U5IBG3365K1JLX', 'member_name': 'John', 'member_time_entered': '2016-08-29T09:12:33.001000+00:00', 'trace_id': '5400127539'}
2022-03-29 15:54:33,687 - basicLogger - DEBUG - {'date_created': '2022-03-29 08:18:25.979101', 'id': 227, 'member_age': '31', 'member_id': 'I1O6O9NWKB82XHXSG', 'member_name': 'John', 'member_time_entered': '2016-08-29T09:12:33.001000+00:00', 'trace_id': '2764300682'}
2022-03-29 15:54:33,687 - basicLogger - DEBUG - {'date_created': '2022-03-29 08:18:26.074600', 'id': 228, 'member_age': '34', 'member_id': 'XHW73V89V00DQWY44', 'member_name': 'John', 'member_time_entered': '2016-08-29T09:12:33.001000+00:00', 'trace_id': '9151924973'}
2022-03-29 15:54:33,687 - basicLogger - DEBUG - {'date_created': '2022-03-29 08:18:26.178217', 'id': 229, 'member_age': '12', 'member_id': 'SBBL95AZ9KZ6WWSSE', 'member_name': 'John', 'member_time_entered': '2016-08-29T09:12:33.001000+00:00', 'trace_id': '6734499973'}
2022-03-29 15:54:33,688 - basicLogger - DEBUG - {'date_created': '2022-03-29 08:18:26.270319', 'id': 230, 'member_age': '31', 'member_id': 'UF354VFHGLHYODNRX', 'member_name': 'John', 'member_time_entered': '2016-08-29T09:12:33.001000+00:00', 'trace_id': '7810275383'}
2022-03-29 15:54:33,688 - basicLogger - DEBUG - {'date_created': '2022-03-29 08:18:26.369815', 'id': 231, 'member_age': '30', 'member_id': 'GEBVNZ2KPXS1WD4YM', 'member_name': 'John', 'member_time_entered': '2016-08-29T09:12:33.001000+00:00', 'trace_id': '7124316036'}
